centroid,log(zero_cross),type
540.7970530640443,-6.1194978986205335,kick
756.8975920426802,-6.214808078424858,kick
3989.6930460808207,-5.521660897864913,kick
997.148192759696,-6.032486521630903,kick
2008.4441821158055,-6.214808078424858,kick
688.8334180730403,-5.952443813957367,kick
1182.9185169971447,-5.259296633397422,kick
2021.547093542807,-4.268897929369545,kick
131.069496155621,-6.214808078424858,kick
2020.658597179925,-5.521660897864913,kick
857.4534653490061,-6.907955258984804,kick
3644.290178467875,-3.5686332810407353,kick
780.8680723717566,-5.521660897864913,kick
3524.4177803825305,-5.221556305414575,kick
5009.065557822076,-3.6890794341166027,kick
4203.06792264801,-5.472870733695481,kick
4273.10073851726,-5.381898955489754,kick
2014.8759471365515,-6.437951629739068,kick
3747.901594661628,-5.744804449179123,kick
4618.96269420655,-3.697111605813867,kick
696.0721235597013,-5.426350718060588,kick
4487.084998393992,-3.411447697518323,kick
3472.6410214563116,-5.809342970316694,kick
268.8015979495542,-6.437951629739068,kick
566.4962000295834,-5.809342970316694,kick
1573.1418345039253,-6.320168594082684,kick
614.8489923314231,-6.437951629739068,kick
604.9176030827928,-6.320168594082684,kick
165.24693140494688,-5.809342970316694,kick
4514.706208181033,-3.697111605813867,kick
3625.6206423181893,-6.1194978986205335,kick
2047.4340189426182,-6.320168594082684,kick
4672.698827469493,-3.4611473660705956,kick
1081.066851729661,-6.437951629739068,kick
1757.858043367746,-4.879807011692518,kick
3916.412975777357,-4.547101257866782,kick
2043.380034785068,-5.116195789756748,kick
1827.5758253738059,-4.906475258774679,kick
3636.701041067517,-3.963516279818363,kick
9021.013956993596,-1.4655375484630098,kick
4285.987008005864,-4.186659831132572,kick
4121.594126750613,-5.627021413522739,kick
3391.951606145183,-4.853831525289257,kick
547.5641064805693,-6.320168594082684,kick
4829.470411042303,-5.298517346550703,kick
322.18535117087526,-6.214808078424858,kick
874.623555700686,-6.1194978986205335,kick
1841.2881084046078,-6.571483022363591,kick
